env;exploration_strategy;smart_start;num_iter;num_episodes;max_steps;mean;std;steps
Hard;count-based;False;10;1000;50000;5067.9;1257.76424261;[3762, 6436, 5065, 4540, 5982, 3439, 5875, 7407, 4548, 3625]
Hard;count-based;True;10;1000;5000;4470.4;645.070569783;[3854, 4922, 5456, 3965, 3362, 5143, 4334, 4994, 4750, 3924]
Hard;count-based;True;10;1000;100000;5258.4;1259.90890147;[3727, 4889, 5341, 5034, 8017, 6266, 4625, 4083, 6510, 4092]
Hard;count-based;False;10;1000;100000;4391.5;755.951883389;[3667, 5063, 3757, 5535, 3888, 4331, 3114, 4499, 5425, 4636]
Hard;random;False;10;1000;500;nan;nan;[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]
Hard;random;True;10;1000;2500;12294.7;3878.72040885;[10542, 8199, 12680, 15182, 9488, 18757, 5177, 15295, 15838, 11789]
Medium;random;False;10;1000;1000;nan;nan;[889979, nan, 230000, 178874, 81869, nan, 824772, nan, nan, 458920]
Medium;count-based;True;10;1000;500;2038.3;210.203258776;[2088, 2279, 2195, 1969, 1858, 2356, 1669, 1829, 1935, 2205]
Hard;count-based;True;10;1000;1000;4067.2;299.696780096;[4284, 4162, 3418, 3991, 3892, 3702, 4247, 4353, 4218, 4405]
Easy;random;True;10;1000;50;1682.2;710.238241719;[1988, 1317, 1579, 1425, 1578, 1478, 656, 3047, 956, 2798]
Hard;count-based;False;10;1000;1000;8446.9;904.499358762;[8855, 7989, 8996, 8822, 7956, 8938, 6997, 9992, 6982, 8942]
Easy;random;False;10;1000;50;nan;nan;[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]
Medium;random;True;10;1000;250;3738.4;1334.27090203;[3213, 3857, 2443, 7406, 4111, 4126, 3159, 2986, 2709, 3374]
Medium;random;True;10;1000;2500;6114.5;3586.18767635;[12846, 3476, 4039, 7688, 4430, 4223, 5974, 3190, 2644, 12635]
Medium;random;False;10;1000;500;nan;nan;[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]
Medium;random;False;10;1000;2500;37241.4;27162.0758934;[26921, 12148, 16497, 27121, 17266, 21772, 21997, 86288, 54986, 87418]
Hard;random;False;10;1000;5000;715582.2;605418.030311;[523919, 374402, 538389, 2198707, 154729, 1104334, 297817, 469061, 1284878, 209586]
Easy;random;True;10;1000;100;1057.7;375.036011604;[1054, 667, 1566, 372, 761, 1054, 1573, 1466, 989, 1075]
Medium;random;False;10;1000;250;nan;nan;[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]
Medium;random;True;10;1000;1000;4898.9;2239.40869204;[8228, 3254, 2875, 5356, 4787, 2959, 3470, 3397, 9796, 4867]
Extreme;random;False;10;1000;500;nan;nan;[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]
Hard;random;True;10;1000;10000;28394.9;11484.421278;[30591, 30273, 24152, 28310, 7001, 40598, 30493, 28130, 50263, 14138]
Hard;random;False;10;1000;10000;129137.5;112329.322572;[236889, 125262, 409967, 159903, 98590, 29387, 49108, 26881, 106886, 48502]
Medium;count-based;True;10;1000;100;2764.2;836.047462768;[2812, 2614, 3311, 2410, 2306, 2010, 2210, 2719, 2216, 5034]
Medium;count-based;False;10;1000;100;16525.5;760.121602114;[16095, 16100, 16500, 16099, 16697, 18679, 15997, 15999, 16593, 16496]
Extreme;count-based;False;10;1000;500;194027.1;15145.3177019;[175468, 198995, 207990, 222980, 184476, 202475, 188428, 204490, 181997, 172972]
Extreme;count-based;False;10;1000;5000;33214.9;12591.7447357;[48145, 29419, 19758, 24023, 64001, 32413, 33026, 23275, 28508, 29581]
Extreme;random;False;10;1000;50000;584599.0;501413.377259;[436128, 582713, 138853, 1949339, 888599, 594873, 445569, 184464, 387268, 238184]
Hard;random;True;10;1000;1000;11722.9;2459.91282163;[7644, 16532, 11366, 11250, 9965, 13178, 10767, 10466, 10877, 15184]
Hard;count-based;True;10;1000;250;4695.7;366.815771199;[4261, 4720, 4931, 4221, 4513, 4673, 5234, 5011, 5172, 4221]
Hard;count-based;False;10;1000;250;34912.6;1362.83529452;[33240, 34996, 35243, 34744, 37746, 33479, 34475, 34965, 36742, 33496]
Extreme;count-based;True;10;1000;10000;21327.7;4644.95313324;[29528, 15694, 21007, 19882, 20385, 22624, 28053, 18595, 23554, 13955]
Extreme;count-based;False;10;1000;10000;24746.4;6747.12318251;[15433, 25697, 35917, 29202, 34947, 19923, 19010, 16878, 24805, 25652]
Extreme;count-based;True;10;1000;25000;14549.9;5397.43312047;[23739, 9671, 23096, 16702, 11530, 10525, 13193, 18519, 11075, 7449]
Extreme;count-based;False;10;1000;25000;19204.0;7756.31711575;[19614, 22405, 6924, 23938, 11936, 31131, 31888, 14491, 13855, 15858]
Extreme;count-based;True;10;1000;50000;17320.8;6034.20448444;[26268, 18333, 13609, 21740, 12016, 19753, 13592, 6194, 26001, 15702]
Extreme;random;True;10;1000;100000;176027.1;81326.8592759;[94479, 301154, 112017, 201413, 65974, 202618, 201384, 201523, 300755, 78954]
Extreme;count-based;False;10;1000;50000;20978.0;10891.5138984;[38351, 9944, 16662, 24463, 17006, 16081, 12452, 16673, 44401, 13747]
Extreme;count-based;True;10;1000;100000;23025.1;10144.9603001;[43039, 21369, 22703, 35215, 12784, 30311, 11312, 11976, 25761, 15781]
Extreme;count-based;False;10;1000;100000;21748.6;8851.58974648;[14422, 26675, 15498, 30262, 14818, 11340, 34126, 26692, 33228, 10425]
Hard;random;False;10;1000;1000;nan;nan;[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]
Hard;random;False;10;1000;2500;nan;nan;[84863, nan, nan, nan, nan, nan, nan, nan, nan, nan]
Medium;random;True;10;1000;100;5864.7;1367.67540374;[6753, 4232, 6347, 6960, 6448, 3025, 4931, 7052, 7556, 5343]
Hard;count-based;True;10;1000;500;4359.7;409.318470143;[4412, 4754, 4161, 4849, 3680, 3680, 4668, 4799, 4201, 4393]
Extreme;random;False;10;1000;100000;579516.9;556159.790917;[66503, 63770, 42945, 868823, 349641, 1068945, 135640, 671989, 1879429, 647484]
Hard;random;True;10;1000;5000;14870.5;6069.80787587;[17971, 10274, 20744, 25193, 3261, 10748, 20428, 11630, 13078, 15378]
Extreme;random;True;10;1000;25000;151154.2;24586.9087435;[125936, 149032, 175693, 155252, 151012, 107277, 135319, 201942, 154739, 155340]
Extreme;count-based;True;10;1000;2500;18459.2;3240.77641315;[14935, 12890, 18222, 23084, 22898, 19353, 14780, 18509, 20854, 19067]
Extreme;count-based;False;10;1000;2500;42411.7;9035.99122454;[27068, 37197, 51843, 42463, 39743, 39923, 49878, 44339, 32253, 59410]
Hard;random;True;10;1000;250;9818.6;2466.1978104;[7740, 14042, 6753, 7955, 12711, 9988, 9456, 7252, 13037, 9252]
Hard;random;False;10;1000;250;nan;nan;[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]
Extreme;count-based;True;10;1000;5000;20510.9;3406.7768477;[25404, 22065, 15664, 22645, 21342, 21296, 17473, 25380, 17821, 16019]
Hard;random;True;10;1000;500;8803.3;1927.3478176;[8250, 8387, 9924, 7702, 10719, 7255, 6873, 8883, 6746, 13294]
Extreme;random;False;10;1000;5000;nan;nan;[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]
Extreme;count-based;True;10;1000;1000;17261.9;1586.81866954;[19412, 17664, 18245, 15944, 13520, 18259, 17664, 18563, 16400, 16948]
Extreme;count-based;False;10;1000;1000;92281.9;9281.08095482;[89985, 93965, 111637, 83764, 95880, 101818, 87909, 76916, 85976, 94969]
Extreme;random;False;10;1000;25000;4742919.4;4557934.16866;[1066956, 2066319, 16399398, 1672339, 1022118, 6749970, 8522895, 1795362, 4121256, 4012581]
Extreme;random;True;10;1000;50000;179123.4;103786.573789;[252490, 94316, 33888, 300793, 250553, 300338, 260726, 187601, 23353, 87176]
Extreme;random;True;10;1000;10000;119073.9;37120.3684557;[164681, 160783, 101084, 100625, 82888, 189083, 126230, 100393, 80571, 84401]
Extreme;random;True;10;1000;2500;78342.4;17963.8958147;[85671, 83993, 64402, 108544, 61375, 103301, 57987, 92866, 60935, 64350]
Extreme;random;False;10;1000;2500;nan;nan;[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]
Extreme;random;False;10;1000;10000;nan;nan;[nan, nan, nan, 5079839, nan, nan, nan, nan, nan, nan]
Extreme;random;True;10;1000;5000;95529.3;12944.9673854;[105393, 110404, 95876, 105547, 112211, 101044, 76812, 74602, 85310, 88094]
Extreme;random;True;10;1000;1000;66532.4;9900.45906208;[59291, 84411, 65436, 72068, 81305, 66820, 54493, 52433, 66297, 62770]
Extreme;random;False;10;1000;1000;nan;nan;[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]
Extreme;count-based;True;10;1000;250;25387.3;1363.28493353;[24586, 27099, 24082, 22833, 24591, 25593, 26581, 27087, 24820, 26601]
Extreme;count-based;False;10;1000;250;nan;nan;[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]
Extreme;count-based;True;10;1000;500;18302.5;1178.19117719;[17359, 17523, 17297, 18491, 16801, 20492, 19809, 18536, 17369, 19348]
Extreme;random;True;10;1000;250;66933.0;8997.8263264;[59235, 65241, 58972, 75550, 48934, 69023, 79816, 75548, 72771, 64240]
Extreme;random;False;10;1000;250;nan;nan;[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]
Extreme;random;True;10;1000;500;58804.8;6800.47708326;[61425, 68016, 52844, 49595, 49547, 57360, 53538, 63864, 63961, 67898]
env;exploration_strategy;smart_start;num_iter;num_episodes;max_steps;mean;std;steps
Easy;model-based;True;10;1000;5000;1232.8;137.408733347;[1329, 1416, 1307, 1074, 1165, 1363, 965, 1168, 1184, 1357]
Easy;model-based;True;10;1000;50000;1232.9;184.298372212;[877, 1478, 1334, 1356, 1469, 1279, 1044, 1258, 1174, 1060]
Easy;model-based;False;10;1000;10000;1246.8;93.464217752;[1205, 1295, 1413, 1347, 1180, 1323, 1096, 1263, 1200, 1146]
Easy;model-based;False;10;1000;1000;1376.3;170.567904367;[1341, 1568, 1308, 1530, 974, 1496, 1531, 1224, 1413, 1378]
Easy;model-based;False;10;1000;100;1608.1;146.361504502;[1859, 1673, 1479, 1761, 1488, 1646, 1692, 1364, 1659, 1460]
Easy;model-based;True;10;1000;500;1162.1;169.902001165;[1068, 1366, 955, 1076, 1541, 1040, 1059, 1148, 1278, 1090]
Easy;model-based;False;10;1000;5000;1270.3;137.269115244;[1223, 1324, 1047, 1228, 1357, 1272, 1464, 1033, 1438, 1317]
Easy;model-based;False;10;1000;50000;1240.0;164.211449053;[1341, 1213, 1394, 1252, 1013, 1422, 1251, 1460, 953, 1101]
Easy;model-based;True;10;1000;25000;1230.1;226.372016822;[1008, 883, 1374, 1246, 1298, 1357, 822, 1468, 1466, 1379]
Easy;model-based;True;10;1000;2500;1206.2;133.038190006;[1324, 1081, 1372, 1172, 1102, 1282, 1327, 1353, 1023, 1026]
Easy;model-based;True;10;1000;10000;1198.9;167.047568076;[1336, 1435, 1287, 1244, 1049, 1416, 1222, 1023, 1039, 938]
Easy;model-based;True;10;1000;100000;1209.6;207.161869078;[1406, 1320, 1384, 804, 972, 1332, 1045, 1416, 1063, 1354]
